frame,dt,system_id,bodies,total_mass,max_r,inner_count,mid_count,outer_count,inner_avg_mass,mid_avg_mass,outer_avg_mass,inner_avg_radius,outer_avg_radius,inner_avg_size,outer_avg_size,inner_osc_ratio,mid_osc_ratio,outer_osc_ratio,merges,elastics
32614980,0.065000,3,6240,821.291077,939.550537,2297,3029,914,0.141753,0.102716,0.201916,151.565765,711.096497,0.039510,0.030710,0.395668,0.310892,0.388171,0,0
32615010,0.065000,3,6240,821.295532,940.091919,2300,3034,906,0.141715,0.102812,0.202440,152.797882,711.905090,0.039502,0.030724,0.431857,0.311396,0.385794,0,0
32615040,0.065000,3,6239,821.296387,940.590637,2304,3021,914,0.141650,0.102530,0.202604,154.361221,711.269958,0.039485,0.030722,0.461930,0.310878,0.386829,0,0
32615070,0.065000,3,6230,821.296204,941.048096,2293,3031,906,0.142215,0.102383,0.204044,155.982590,712.151489,0.039524,0.030772,0.488377,0.311231,0.385620,1,0
32615100,0.065000,3,6209,821.295959,941.464722,2273,3030,906,0.143640,0.101889,0.205373,158.535416,712.322937,0.039592,0.030822,0.510964,0.310786,0.385793,1,0
32615130,0.065000,3,6195,821.295471,941.839966,2262,3028,905,0.144432,0.102031,0.205118,160.904831,712.613525,0.039619,0.030812,0.551760,0.311145,0.384897,0,0
32615160,0.065000,3,6194,821.295471,942.521179,2261,3035,898,0.144498,0.101724,0.206951,162.447281,713.513000,0.039622,0.030884,0.593354,0.311904,0.383557,0,0
32615190,0.065000,3,6191,821.295105,944.316101,2259,3040,892,0.144726,0.101563,0.208070,164.223373,714.359741,0.039634,0.030923,0.655967,0.312024,0.384348,0,0
32615220,0.065000,3,6191,823.695129,947.705261,2272,3036,883,0.144611,0.102325,0.208912,166.455429,715.427246,0.039601,0.030952,0.685412,0.312697,0.382695,0,0
32615250,0.065000,3,6188,826.095093,948.900146,2274,3044,870,0.145783,0.102444,0.210043,168.484589,717.013672,0.039580,0.030986,0.682320,0.313807,0.380665,0,0
32615280,0.065000,3,6188,826.094910,950.525696,2279,3052,857,0.145709,0.102538,0.211283,170.492462,718.648438,0.039566,0.031030,0.687119,0.314806,0.378770,0,0
32615310,0.065000,3,6181,826.094910,952.099243,2267,3064,850,0.146289,0.102467,0.212341,172.154266,719.736206,0.039575,0.031073,0.695005,0.315473,0.377529,0,0
32615340,0.065000,3,6179,826.095032,953.615906,2271,3070,838,0.146245,0.102495,0.213967,174.311935,721.372742,0.039558,0.031135,0.695624,0.316220,0.375565,0,0
32615370,0.065000,3,6176,826.095215,955.077148,2272,3078,826,0.146389,0.102219,0.216536,176.387711,723.073303,0.039559,0.031227,0.693502,0.316360,0.375606,0,0
32615400,0.065000,3,6175,826.095093,956.483948,2272,3088,815,0.146456,0.102480,0.217028,178.313980,724.733887,0.039562,0.031244,0.746496,0.317438,0.374985,0,0
32615430,0.065000,3,6173,826.094849,957.835205,2276,3088,809,0.146587,0.102380,0.217929,180.615036,725.909058,0.039565,0.031280,0.701632,0.318461,0.373239,0,0
32615460,0.065000,3,6173,828.494507,960.259705,2274,3107,792,0.146681,0.103142,0.220290,182.303528,728.283386,0.039572,0.031362,0.704655,0.319527,0.371612,0,0
32615490,0.065000,3,6171,833.294861,964.090576,2275,3124,772,0.146811,0.104591,0.223508,184.212387,730.987915,0.039566,0.031477,0.720029,0.321534,0.370506,0,0
32615520,0.065000,3,6170,835.694763,965.783691,2270,3130,770,0.146964,0.105444,0.223426,186.014587,731.848511,0.039574,0.031470,0.713420,0.322309,0.370705,0,0
32615550,0.065000,3,6170,838.094666,968.478821,2262,3154,754,0.146906,0.105755,0.228425,187.271515,734.355713,0.039589,0.031471,0.723690,0.324222,0.368937,0,0
32615580,0.065000,3,6169,840.495056,970.783203,2252,3176,741,0.146806,0.107105,0.229034,188.461761,736.589661,0.039602,0.031483,0.727666,0.325924,0.366175,0,0
32615610,0.065000,3,6168,842.895081,973.930481,2247,3198,723,0.146882,0.106845,0.236722,189.817642,739.146606,0.039616,0.031557,0.752502,0.327853,0.366113,0,0
32615640,0.065000,3,6167,842.894897,974.929443,2247,3203,717,0.146938,0.106943,0.237349,191.825684,740.658142,0.039622,0.031580,0.837070,0.329774,0.363736,0,0
32615670,0.065000,3,6167,845.294861,974.987671,2233,3218,716,0.147274,0.107723,0.237109,193.374924,741.598389,0.039672,0.031573,0.771300,0.330690,0.364473,0,0
32615700,0.065000,3,6163,845.294983,975.866699,2224,3225,714,0.147738,0.107738,0.237065,195.177414,742.666748,0.039706,0.031566,0.814617,0.332161,0.364671,0,0
32615730,0.065000,3,6163,845.294800,976.677673,2212,3245,706,0.147925,0.108196,0.236513,196.552246,744.544373,0.039741,0.031539,0.875198,0.334527,0.361678,0,0
32615760,0.065000,3,6163,845.294983,977.418579,2207,3251,705,0.148011,0.108168,0.236837,198.355316,745.531921,0.039757,0.031553,0.850460,0.336070,0.360556,0,0
32615790,0.065000,3,6162,845.294983,978.089539,2203,3259,700,0.148178,0.108405,0.236515,200.317276,747.066711,0.039769,0.031533,0.855468,0.338038,0.360110,0,0
32615820,0.065000,3,6162,845.294861,979.488464,2197,3263,702,0.148242,0.108614,0.235315,202.081100,747.677979,0.039783,0.031486,0.861720,0.340227,0.357738,0,0
32615850,0.065000,3,6162,845.294983,981.636475,2196,3276,690,0.148232,0.108977,0.235882,204.138153,750.230652,0.039783,0.031497,0.880856,0.342210,0.356584,0,0
32615880,0.065000,3,6161,845.294861,983.748230,2191,3282,688,0.148272,0.109254,0.235250,206.069260,751.467834,0.039791,0.031468,0.889668,0.344535,0.355533,0,0
32615910,0.065000,3,6161,845.294983,985.826050,2186,3293,682,0.148354,0.109246,0.236420,207.915268,753.315613,0.039806,0.031506,0.891591,0.346716,0.356358,0,0
32615940,0.065000,3,6160,845.295166,987.869629,2181,3303,676,0.148491,0.109338,0.237108,209.846695,755.201904,0.039817,0.031532,0.894773,0.349365,0.355729,0,0
32615970,0.065000,3,6160,845.295227,989.881592,2179,3309,672,0.148472,0.109279,0.238336,211.846481,756.843445,0.039817,0.031577,0.878750,0.351500,0.356284,0,0
32616000,0.065000,3,6160,845.295349,991.862488,2169,3326,665,0.148504,0.109320,0.239973,213.413879,758.959656,0.039831,0.031638,0.877186,0.353857,0.354368,0,0
32616030,0.065000,3,6160,845.295227,993.814148,2170,3328,662,0.148497,0.109356,0.240351,215.570358,760.518311,0.039829,0.031654,0.916806,0.355793,0.352306,0,0
32616060,0.065000,3,6159,845.295105,995.736633,2171,3329,659,0.148477,0.109322,0.241289,217.804230,762.083740,0.039814,0.031686,0.875803,0.357816,0.351838,0,0
32616090,0.065000,3,6159,845.295105,997.629272,2167,3334,658,0.148439,0.109378,0.241570,219.696350,763.350037,0.039814,0.031693,0.878703,0.359271,0.351383,0,0
32616120,0.065000,3,6159,845.295044,999.494690,2167,3338,654,0.148473,0.109269,0.242820,221.804657,765.073792,0.039818,0.031736,0.890169,0.360600,0.351556,0,0
32616150,0.065000,3,6158,845.294922,1001.332153,2156,3353,649,0.148670,0.109317,0.243780,223.435211,766.967712,0.039844,0.031765,0.907969,0.362290,0.351627,0,0
32616180,0.065000,3,6158,845.294922,1003.140869,2144,3364,650,0.148678,0.109485,0.243404,224.954239,767.960205,0.039858,0.031748,0.938277,0.363898,0.351606,0,0
32616210,0.065000,3,6158,845.295044,1004.923035,2137,3379,642,0.148604,0.109911,0.243505,226.739410,770.360779,0.039857,0.031744,0.922599,0.368003,0.350621,0,0
32616240,0.065000,3,6158,845.295166,1006.676453,2137,3381,640,0.148489,0.110061,0.243510,228.885300,771.859802,0.039843,0.031741,0.926537,0.370014,0.349519,0,0
32616270,0.065000,3,6157,845.295410,1008.545044,2135,3386,636,0.148344,0.110359,0.243549,230.940765,773.703552,0.039828,0.031738,0.940497,0.372981,0.348268,0,0
